condition,lower,upper,achieved_low,achieved_high,requested_shortfall,winning_unit,winning_offset,finite_sampling_shortfall,upper_clip_loss,lower_clip_gain,raw_mean_term,ic_saturation_fraction,pair,fraction_inside,units_inside,max_gap,median_gap,max_nearest_training_mean
narrow,0.4865,0.5171,0.48650880374274413,0.5170747504413228,2.5249558677220563e-05,541,0.5170747504413228,2.5249558677220563e-05,0.0,0.0,-1.0928757898653884e-17,7.32421875e-05,fisher_kpp,0.0,0,0.20637774071143966,0.19207862316808544,0.20637774071143966
narrow,0.4865,0.5171,0.48650880374274413,0.5170747504413228,2.5249558677220563e-05,541,0.5170747504413228,2.5249558677220563e-05,0.0,0.0,-1.0928757898653884e-17,7.32421875e-05,allen_cahn,0.0,0,0.32702869910423016,0.31506314169054556,0.32702869910423016
curve,0.48,0.5171,0.4800106738188171,0.5170693869729763,3.0613027023673745e-05,541,0.5170693869729763,3.0613027023673745e-05,0.0,0.0,-1.0928757898653884e-17,7.32421875e-05,fisher_kpp,0.0,0,0.20638310417978611,0.1920839866364319,0.20638310417978611
curve,0.48,0.5171,0.4800106738188171,0.5170693869729763,3.0613027023673745e-05,541,0.5170693869729763,3.0613027023673745e-05,0.0,0.0,-1.0928757898653884e-17,7.32421875e-05,allen_cahn,0.0,0,0.3270340625725766,0.315068505158892,0.3270340625725766
curve,0.48,0.6,0.48003452448134953,0.5999009821228345,9.901787716548593e-05,541,0.5999009821228345,9.901787716548593e-05,0.0,0.0,-1.0928757898653884e-17,0.001507568359375,fisher_kpp,0.0,0,0.12355150902992795,0.10925239148657373,0.12355150902992795
curve,0.48,0.6,0.48003452448134953,0.5999009821228345,9.901787716548593e-05,541,0.5999009821228345,9.901787716548593e-05,0.0,0.0,-1.0928757898653884e-17,0.001507568359375,allen_cahn,0.0,0,0.24420246742271845,0.23223691000903385,0.24420246742271845
curve,0.48,0.7,0.4800632948824741,0.6998159398432771,0.00018406015672289833,330,0.699815939843277,0.00018406015672300935,0.0,0.0,-2.4286128663675298e-18,0.0093505859375,fisher_kpp,0.14583333333333334,7,0.023636551309485387,0.009337433766131165,0.023636551309485387
curve,0.48,0.7,0.4800632948824741,0.6998159398432771,0.00018406015672289833,330,0.699815939843277,0.00018406015672300935,0.0,0.0,-2.4286128663675298e-18,0.0093505859375,allen_cahn,0.0,0,0.14428750970227588,0.13232195228859128,0.14428750970227588
curve,0.48,0.7258,0.4800707176459642,0.725565505817674,0.00023449418232601715,330,0.7255943546067158,0.00020564539328415954,2.884878904182899e-05,0.0,-2.4286128663675298e-18,0.012823486328125,fisher_kpp,1.0,48,0.0,0.0,0.0005190616743582233
curve,0.48,0.7258,0.4800707176459642,0.725565505817674,0.00023449418232601715,330,0.7255943546067158,0.00020564539328415954,2.884878904182899e-05,0.0,-2.4286128663675298e-18,0.012823486328125,allen_cahn,0.0,0,0.11853794372787896,0.10657238631419436,0.11853794372787896
curve,0.48,0.75,0.48007768008303636,0.7489161878298756,0.0010838121701244319,330,0.7497741079894764,0.00022589201052358732,0.0008579201596007648,0.0,-2.4286128663675298e-18,0.017156982421875,fisher_kpp,1.0,48,0.0,0.0,0.0007368047642763997
curve,0.48,0.75,0.48007768008303636,0.7489161878298756,0.0010838121701244319,330,0.7497741079894764,0.00022589201052358732,0.0008579201596007648,0.0,-2.4286128663675298e-18,0.017156982421875,allen_cahn,0.0,0,0.09518726171567737,0.08322170430199277,0.09518726171567737
curve,0.48,0.8,0.4800920652835987,0.795241200896693,0.00475879910330701,330,0.7997322761356758,0.0002677238643242763,0.00449107523898258,0.0,-2.4286128663675298e-18,0.031304931640625,fisher_kpp,1.0,48,0.0,0.0,0.000779197636257889
curve,0.48,0.8,0.4800920652835987,0.795241200896693,0.00475879910330701,330,0.7997322761356758,0.0002677238643242763,0.00449107523898258,0.0,-2.4286128663675298e-18,0.031304931640625,allen_cahn,0.0,0,0.04886224864885991,0.036896691235175305,0.04886224864885991
curve,0.48,0.82,0.48009781936382356,0.8123519683791576,0.007648031620842377,330,0.8197155433941554,0.0002844566058445297,0.007363575014997688,0.0,-2.4286128663675298e-18,0.038519287109375,fisher_kpp,1.0,48,0.0,0.0,0.0009868942622597299
curve,0.48,0.82,0.48009781936382356,0.8123519683791576,0.007648031620842377,330,0.8197155433941554,0.0002844566058445297,0.007363575014997688,0.0,-2.4286128663675298e-18,0.038519287109375,allen_cahn,0.0,0,0.03175148116639537,0.019785923752710766,0.03175148116639537
curve,0.48,0.835,0.48010213492399234,0.8246667880465446,0.010333211953455379,330,0.8347029938380152,0.000297006161984803,0.010036205791470578,0.0,-2.4286128663675298e-18,0.044354248046875,fisher_kpp,1.0,48,0.0,0.0,0.0011134669216434911
curve,0.48,0.835,0.48010213492399234,0.8246667880465446,0.010333211953455379,330,0.8347029938380152,0.000297006161984803,0.010036205791470578,0.0,-2.4286128663675298e-18,0.044354248046875,allen_cahn,0.1875,9,0.019436661499008356,0.007471104085323754,0.019436661499008356
curve,0.48,0.85,0.48010645048416095,0.8362386463934732,0.01376135360652675,330,0.8496904442818749,0.0003095557181250763,0.013451797888401812,0.0,-2.4286128663675298e-18,0.050836181640625,fisher_kpp,1.0,48,0.0,0.0,0.0017035232747979467
curve,0.48,0.85,0.48010645048416095,0.8362386463934732,0.01376135360652675,330,0.8496904442818749,0.0003095557181250763,0.013451797888401812,0.0,-2.4286128663675298e-18,0.050836181640625,allen_cahn,0.6666666666666666,32,0.007864803152079713,0.0,0.007864803152079713
curve,0.48,0.86,0.48010932752427343,0.8435617639597912,0.016438236040208776,330,0.8596820779111148,0.0003179220888851475,0.016120313951323545,0.0,-2.4286128663675298e-18,0.055340576171875,fisher_kpp,1.0,48,0.0,0.0,0.0015126374762475248
curve,0.48,0.86,0.48010932752427343,0.8435617639597912,0.016438236040208776,330,0.8596820779111148,0.0003179220888851475,0.016120313951323545,0.0,-2.4286128663675298e-18,0.055340576171875,allen_cahn,0.9791666666666666,47,0.0005416855857617309,0.0,0.00131951561067567
curve,0.48,0.875,0.4801136430844421,0.8538241224222659,0.021175877577734092,330,0.8746695283549746,0.0003304716450254208,0.020845405932708814,0.0,-2.4286128663675298e-18,0.062445068359375,fisher_kpp,1.0,48,0.0,0.0,0.001684087965634018
curve,0.48,0.875,0.4801136430844421,0.8538241224222659,0.021175877577734092,330,0.8746695283549746,0.0003304716450254208,0.020845405932708814,0.0,-2.4286128663675298e-18,0.062445068359375,allen_cahn,1.0,48,0.0,0.0,0.001488909115247683
curve,0.48,0.9,0.4801208356847233,0.8710139837639677,0.028986016236032364,638,0.8980076916559967,0.001992308344003324,0.02699370789202913,0.0,-2.4286128663675298e-18,0.0745361328125,fisher_kpp,1.0,48,0.0,0.0,0.0009405601062314473
curve,0.48,0.9,0.4801208356847233,0.8710139837639677,0.028986016236032364,638,0.8980076916559967,0.001992308344003324,0.02699370789202913,0.0,-2.4286128663675298e-18,0.0745361328125,allen_cahn,1.0,48,0.0,0.0,0.0007748451371138998
