utc	load_1min	leg_cpu	other_cpu	cache_digest	repeats	spin_cpu
16:04:08	10.86	387.7	194.1	68135fe7ceada07c	repeat_00,repeat_01,	194.1
16:05:08	10.26	393.4	198.7	68135fe7ceada07c	repeat_00,repeat_01,	198.7
16:06:08	10.60	390.4	196.6	68135fe7ceada07c	repeat_00,repeat_01,	196.6
16:07:09	10.08	382.4	197.6	68135fe7ceada07c	repeat_00,repeat_01,	195.1
16:08:09	9.73	386.9	200.9	68135fe7ceada07c	repeat_00,repeat_01,	196.6
16:09:09	11.52	388.7	207.6	68135fe7ceada07c	repeat_00,repeat_01,	196.6
16:10:09	8.63	389.5	197.2	68135fe7ceada07c	repeat_00,repeat_01,	197.4
16:11:10	9.49	391.2	198.3	68135fe7ceada07c	repeat_00,repeat_01,	197.3
16:12:10	9.83	390.2	197.5	68135fe7ceada07c	repeat_00,repeat_01,	197.5
16:13:10	10.28	395.5	211.7	68135fe7ceada07c	repeat_00,repeat_01,	198.3
16:14:11	12.31	388.9	194.4	68135fe7ceada07c	repeat_00,repeat_01,	194.4
16:15:11	12.49	391.4	198.5	68135fe7ceada07c	repeat_00,repeat_01,	198.1
16:16:11	11.72	389.2	198.9	68135fe7ceada07c	repeat_00,repeat_01,	198.1
