utc	load_1min	leg_cpu	other_cpu	cache_digest	repeats	spin_cpu
13:30:54	8.04	391.6	200.0	68135fe7ceada07c	repeat_00,repeat_01,	200.0
13:31:54	9.40	386.2	298.8	68135fe7ceada07c	repeat_00,repeat_01,	198.2
13:32:54	7.20	392.4	197.6	68135fe7ceada07c	repeat_00,repeat_01,	197.6
13:33:54	7.80	386.5	312.5	68135fe7ceada07c	repeat_00,repeat_01,	197.8
13:34:55	8.41	385.9	299.5	68135fe7ceada07c	repeat_00,repeat_01,	197.2
13:35:55	8.35	392.0	298.2	68135fe7ceada07c	repeat_00,repeat_01,	199.2
13:36:55	8.72	392.1	296.8	68135fe7ceada07c	repeat_00,repeat_01,	196.4
13:37:55	10.50	390.0	297.1	68135fe7ceada07c	repeat_00,repeat_01,	198.3
13:38:56	9.30	392.8	299.7	68135fe7ceada07c	repeat_00,repeat_01,	197.4
13:39:56	11.24	392.8	299.2	68135fe7ceada07c	repeat_00,repeat_01,	199.2
13:40:56	9.02	393.8	299.1	68135fe7ceada07c	repeat_00,repeat_01,	199.7
13:41:56	8.33	391.4	299.4	68135fe7ceada07c	repeat_00,repeat_01,	197.6
