condition,pair,k,eigenvalue_floor_relative,train_variance_explained,switch_variance_outside_fraction,train_centered_energy_outside_fraction,centroid_residual_l2,train_residual_l2_p99,train_mahalanobis_p99,residual_inside_train_p99,mahalanobis_inside_train_p99,both_inside_train_p99,residual_l2_min,residual_l2_p05,residual_l2_p25,residual_l2_median,residual_l2_p75,residual_l2_p95,residual_l2_p99,residual_l2_max,mahalanobis_min,mahalanobis_p05,mahalanobis_p25,mahalanobis_median,mahalanobis_p75,mahalanobis_p95,mahalanobis_p99,mahalanobis_max
narrow,fisher_kpp,1,1e-08,0.26688868026965146,0.9214657140466787,0.972424116950461,3.3263139349468926,2.658374776506171,2.459654712252483,0,48,0,3.8036783644911765,3.860281615328591,3.955435199275123,4.0444671995128,4.145636874558678,4.264896286600471,4.330409419699489,4.377968582415763,0.02712295612160845,0.04435706106029422,0.2974063771659306,0.6395522462348269,1.01878881514651,1.754399807422138,2.201827677900378,2.393314360678061
narrow,fisher_kpp,2,1e-08,0.5235565054438636,0.8341526421362938,0.9423019736614238,3.3263127174376,2.541087832612342,2.7726193010428317,0,48,0,3.594851304751379,3.708065542315619,3.9110526324713364,4.0167635361711636,4.077606673493156,4.202394120340113,4.29746249452053,4.369658632942688,0.15487689808811825,0.26021467972989987,0.6554796457770355,1.094111770002367,1.5769483418204926,2.2767756176101734,2.568312515979876,2.6250791409168195
narrow,fisher_kpp,5,1e-08,0.8147713429730451,0.5077134843344101,0.8282040038155223,3.3225461373819853,2.0949316604846833,4.693049433072462,0,44,0,3.3925832307344517,3.423224463948817,3.616528896793356,3.7576281732222485,3.8806147928888826,3.9868093886652525,4.077140044025827,4.077221720239544,1.6320382388400747,2.1118997133217094,2.4119895046801947,3.306524535870574,4.008387940102749,4.886125594744692,5.393909034564622,5.604692052557778
narrow,fisher_kpp,10,1e-08,0.9902591430936633,0.01907297736099853,0.657987414909112,3.3183635651303405,0.2508008839154534,8.670419258898493,0,39,0,3.0379237599353828,3.1232960392976556,3.215818939924395,3.331886016183793,3.4521197061914806,3.527268477779429,3.5566031172781933,3.560961594503624,5.291027752308019,5.423388671694543,6.716350303319068,7.27461454370299,7.98362000032229,9.245530850684233,9.647478941017138,9.658892280262192
narrow,fisher_kpp,11,1e-08,0.9999999592547778,0.01590123129864104,0.005624253669812016,0.04839922008681542,7.563802140800114e-05,8.72486525769535,0,0,0,0.08633085794630808,0.14780197277803503,0.2443207060832842,0.27749460208468857,0.32430653951859956,0.490906963871695,0.5335995279017002,0.5577706107179926,22.60042388393955,22.744988225567685,23.69912942418494,24.172602010794648,25.03481658055341,25.405533385760933,25.537926039701457,25.585964266092024
narrow,fisher_kpp,16,1e-08,0.9999999995255938,0.010496502221128636,0.003691577110910186,0.03450837954813794,8.722162114739854e-06,8.803075944986414,0,0,0,0.07289252856779502,0.12729409864482338,0.19835585395973587,0.23691915017429652,0.28030715479025603,0.3525363457840934,0.4281217954780697,0.4473235255796399,361.9949448952306,495.7754015227016,1053.4737549318268,1441.5002345647933,1882.3075774526783,3515.2217064028564,4981.410595434529,5776.920680783623
narrow,fisher_kpp,32,1e-08,0.9999999999999865,0.001434475850001615,0.0005241109876980721,0.02223198794563456,1.8446863918404707e-09,8.805498086908322,0,0,0,0.00906825862485131,0.02025730478376647,0.057232371473762214,0.07692384365039716,0.11228147864965635,0.14936160593000064,0.17394705615054032,0.1803663235575439,1105.894895693344,1824.3070674040366,2643.4771772783843,3300.9136824163334,3836.7843072114283,5800.8768034223185,6149.55460850395,6222.897637099411
narrow,fisher_kpp,64,1e-08,0.9999999999999939,0.0010923802160063662,0.0003964687077344418,0.018208943518955363,1.3752182046343844e-09,8.805498086917527,0,0,0,0.008117760180274804,0.017653325935324156,0.049103871420123235,0.0656819150308696,0.09689986910584666,0.13196571501720256,0.15425484623611016,0.1629751908994256,1114.0259015327429,1855.636413844366,2756.4818699986567,3345.06606977949,3919.959179791815,5844.6191891958415,6188.1805130081575,6293.030772849155
narrow,fisher_kpp,256,1e-06,1.0,2.9322249531108377e-30,2.2855066264423274e-30,4.5145277763552954e-15,5.31620297649796e-15,8.756908952158218,48,0,0,4.2009018290379216e-15,4.816955917240183e-15,5.687216190045459e-15,6.1064713633989466e-15,6.593398087121398e-15,7.544291055639389e-15,8.190680630462536e-15,8.556885528140643e-15,116.76693255622259,197.55318129998366,325.062044288293,369.05837215570284,431.0162490185301,651.797064038157,708.3665346775884,740.4363308106726
narrow,fisher_kpp,256,1e-08,1.0,2.9322249531108377e-30,2.2855066264423274e-30,4.5145277763552954e-15,5.31620297649796e-15,8.805498086930136,48,0,0,4.2009018290379216e-15,4.816955917240183e-15,5.687216190045459e-15,6.1064713633989466e-15,6.593398087121398e-15,7.544291055639389e-15,8.190680630462536e-15,8.556885528140643e-15,1128.3496198142689,1945.6650026806724,3047.327070295074,3541.840987863692,4174.079294232348,5933.658644195197,6300.471703650115,6496.873719821067
